rank,block_idx,rouge_l,rouge_l_delta
1,28,0.1913097112492545,-0.009956057850565053
2,4,0.1921169115264377,-0.009148857573381852
3,15,0.19399267874418208,-0.007273090355637474
4,29,0.19471835852388067,-0.006547410575938883
5,1,0.1950780833821194,-0.006187685717700148
6,19,0.19563894779308855,-0.005626821306731006
7,14,0.19591462096894335,-0.005351148130876199
8,23,0.19605193383330935,-0.005213835266510203
9,22,0.19630591109245626,-0.004959858007363288
10,17,0.19640449100962926,-0.004861278090190296
11,20,0.19649539396925275,-0.004770375130566801
12,13,0.19688432529069455,-0.004381443809125002
13,10,0.19738760120671875,-0.0038781678931008035
14,0,0.19769952127480142,-0.0035662478250181318
15,11,0.19779733517365858,-0.0034684339261609742
16,16,0.19796516303501882,-0.003300606064800732
17,27,0.19805295372422746,-0.003212815375592093
18,9,0.19831095353104464,-0.0029548155687749156
19,2,0.19835262175486373,-0.0029131473449558187
20,6,0.19836549293697725,-0.0029002761628423024
21,5,0.19845030110331563,-0.002815467996503923
22,30,0.19863746901911422,-0.0026283000807053314
23,25,0.19872933265300538,-0.002536436446814172
24,21,0.19911986437022428,-0.002145904729595277
25,12,0.19939588989166762,-0.001869879208151931
26,3,0.19955336729608186,-0.0017124018037376898
27,7,0.19980108535189806,-0.001464683747921497
28,31,0.20094907182529656,-0.00031669727452299234
29,18,0.20231407560026093,0.0010483065004413816
30,8,0.20289876053633243,0.0016329914365128817
31,26,0.20294068833408918,0.0016749192342696284
32,24,0.20369719770342176,0.0024314286036022092
